3029_ed_paed	zebra printer	3029_ed_paed
ppr6	hp laserjet p3010 series	ppr6
wbc6	zebra printer	wbc6
zbr3950428	zebra printer	zbr3950428
3294_nnu	zebra printer	3294_nnu
2816_delivery2	zebra printer	2816_delivery2
2815_delivery1	zebra printer	2815_delivery1
3295_bc_mat3	zebra printer	3295_bc_mat3
zbr3949891	zebra printer	zbr3949891
pr_ljp3015_mat4_office_ocm	hp laserjet p3010 series	pr_ljp3015_mat4_office_ocm
zbr4051832	zebra printer	zbr4051832
pr_ljp3015_ed_childrens	hp laserjet p3010 series	pr_ljp3015_ed_childrens
2939_xray_a	zebra printer	2939_xray_a
2926_dmop_day_h	zebra printer	2926_dmop_day_h
2934_maple_suite	zebra printer	2934_maple_suite
zbr3961848	zebra printer	zbr3961848
3028_ed_main	zebra printer	3028_ed_main
zbr3949890	zebra printer	zbr3949890
ppr11	hp laserjet p3010 series	ppr11
pr_ljp3015_cedar2_rm73	hp laserjet p3010 series	pr_ljp3015_cedar2_rm73
prt192168065110	hp laserjet p3010 series	prt192168065110
prt192168065118	hp laserjet p3010 series	prt192168065118
prt192168065128	hp laserjet p3010 series	prt192168065128
prt192168065129	hp laserjet p3010 series	prt192168065129
pr_ljp3005n_ocm_ct_reception	hp laserjet p3010 series	pr_ljp3005n_ocm_ct_reception
prt192168065133	hp laserjet p3010 series	prt192168065133
prt192168065138	hp laserjet p3005	prt192168065138
pr_lj3005_neonatal_gas_room	hp laserjet p3010 series	pr_lj3005_neonatal_gas_room
prt192168065151	hp laserjet p3010 series	prt192168065151
prt192168065016	hp laserjet p3010 series	prt192168065016
prt192168065017	hp laserjet p3010 series	prt192168065017
pr_ljp3015_ocm_cath_lab	hp laserjet p3010 series	pr_ljp3015_ocm_cath_lab
prt192168065020	hp laserjet p3010 series	prt192168065020
prt192168065040	hp laserjet p3010 series	prt192168065040
prt192168065053	hp laserjet p3010 series	prt192168065053
prt192168065097	hp laserjet p3010 series	prt192168065097
