Linux 3.10.0-229.4.2.el7.x86_64 (d01enspbsedb1) 	07/13/16 	_x86_64_	(2 CPU)

00:00:01        CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest    %gnice     %idle
00:10:01        all      0.31      0.00      0.11      0.01      0.00      0.00      0.01      0.00      0.00     99.57
00:10:01          0      0.37      0.00      0.11      0.00      0.00      0.00      0.01      0.00      0.00     99.52
00:10:01          1      0.25      0.00      0.11      0.01      0.00      0.00      0.01      0.00      0.00     99.63
00:20:01        all      0.31      0.00      0.11      0.01      0.00      0.00      0.01      0.00      0.00     99.57
00:20:01          0      0.35      0.00      0.11      0.00      0.00      0.00      0.01      0.00      0.00     99.53
00:20:01          1      0.27      0.00      0.11      0.01      0.00      0.00      0.01      0.00      0.00     99.60
00:30:01        all      0.32      0.00      0.11      0.01      0.00      0.00      0.01      0.00      0.00     99.56
00:30:01          0      0.31      0.00      0.10      0.01      0.00      0.00      0.01      0.00      0.00     99.58
00:30:01          1      0.32      0.00      0.12      0.01      0.00      0.00      0.01      0.00      0.00     99.54
00:40:01        all      0.30      0.00      0.11      0.01      0.00      0.00      0.01      0.00      0.00     99.57
00:40:01          0      0.37      0.00      0.11      0.01      0.00      0.00      0.01      0.00      0.00     99.50
00:40:01          1      0.23      0.00      0.11      0.01      0.00      0.00      0.00      0.00      0.00     99.65
00:50:01        all      0.31      0.00      0.11      0.01      0.00      0.00      0.01      0.00      0.00     99.57
00:50:01          0      0.35      0.00      0.12      0.01      0.00      0.00      0.01      0.00      0.00     99.51
00:50:01          1      0.26      0.00      0.11      0.01      0.00      0.00      0.01      0.00      0.00     99.61
01:00:01        all      0.31      0.00      0.11      0.01      0.00      0.00      0.01      0.00      0.00     99.56
01:00:01          0      0.35      0.00      0.10      0.02      0.00      0.00      0.01      0.00      0.00     99.52
01:00:01          1      0.27      0.00      0.11      0.01      0.00      0.00      0.01      0.00      0.00     99.61
01:10:01        all      0.31      0.00      0.10      0.01      0.00      0.00      0.01      0.00      0.00     99.57
01:10:01          0      0.30      0.00      0.09      0.00      0.00      0.00      0.01      0.00      0.00     99.60
01:10:01          1      0.32      0.00      0.12      0.02      0.00      0.00      0.01      0.00      0.00     99.54
01:20:01        all      0.31      0.00      0.12      0.01      0.00      0.00      0.01      0.00      0.00     99.56
01:20:01          0      0.31      0.00      0.12      0.01      0.00      0.00      0.01      0.00      0.00     99.55
